ct,GEOID,svi_ptile,transit_ptile,asthmavalue,PTRAF,PTRAF_bycensus,No_of_Stops,PTover45m_pct,,,,,,,,,,,,,,,
24510150702,245101507022,0.4619,0.73651772,0.121,1282.096307,1557.498386,3,67.03,,,,,,,,,,,,,,,
24510150702,245101507023,0.4619,0.73651772,0.121,2422.188073,1557.498386,3,67.03,,,,,,,,,,,,,,,
24510150800,245101508001,0.5533,0.489984592,0.122,2154.347895,1104,26,74.2,,,,,,,,,,,,,,,
24510150800,245101508002,0.5533,0.489984592,0.122,1321.99227,1103.783756,26,74.2,,,,,,,,,,,,,,,
24510150800,245101508003,0.5533,0.489984592,0.122,1004.620707,1103.783756,26,74.2,,,,,,,,,,,,,,,
24510150800,245101508004,0.5533,0.489984592,0.122,576.3632676,1103.783756,26,74.2,,,,,,,,,,,,,,,
24510150800,245101508005,0.5533,0.489984592,0.122,147.1530028,1103.783756,26,74.2,,,,,,,,,,,,,,,
24510150800,245101508006,0.5533,0.489984592,0.122,1418.225395,1103.783756,26,74.2,,,,,,,,,,,,,,,
24510150900,245101509001,0.3452,0.942989214,0.121,445.9630348,275.627916,11,66.14,,,,,,,,,,,,,,,
24510150900,245101509002,0.3452,0.942989214,0.121,45.18494642,275.627916,11,66.14,,,,,,,,,,,,,,,
24510150900,245101509003,0.3452,0.942989214,0.121,124.6065234,275.627916,11,66.14,,,,,,,,,,,,,,,
24510150900,245101509004,0.3452,0.942989214,0.121,486.7571595,275.627916,11,66.14,,,,,,,,,,,,,,,
24510151000,245101510001,0.9391,0.958397535,0.122,477.55494,501.1279549,31,73.31,,,,,,,,,,,,,,,
24510151000,245101510002,0.9391,0.958397535,0.122,178.6279152,501.1279549,31,73.31,,,,,,,,,,,,,,,
24510151000,245101510003,0.9391,0.958397535,0.122,426.8754712,501.1279549,31,73.31,,,,,,,,,,,,,,,
24510151000,245101510004,0.9391,0.958397535,0.122,689.8480272,501.1279549,31,73.31,,,,,,,,,,,,,,,
24510151000,245101510005,0.9391,0.958397535,0.122,1143.564354,501.1279549,31,73.31,,,,,,,,,,,,,,,
24510151000,245101510006,0.9391,0.958397535,0.122,443.486638,501.1279549,31,73.31,,,,,,,,,,,,,,,
24510151000,245101510007,0.9391,0.958397535,0.122,147.9383387,501.1279549,31,73.31,,,,,,,,,,,,,,,
